Gene	Gene description	Evidence
ESRRG	Estrogen related receptor gamma	Evidence at protein level
ESS2	Ess-2 splicing factor homolog	Evidence at protein level
ETNPPL	Ethanolamine-phosphate phospho-lyase	Evidence at protein level
ETV1	ETS variant transcription factor 1	Evidence at protein level
ETV4	ETS variant transcription factor 4	Evidence at protein level
ETV7	ETS variant transcription factor 7	Evidence at protein level
EVA1B	Eva-1 homolog B	Evidence at protein level
EVA1C	Eva-1 homolog C	Evidence at protein level
EVC	EvC ciliary complex subunit 1	Evidence at protein level
EVI2A	Ecotropic viral integration site 2A	Evidence at protein level
EXD3	Exonuclease 3'-5' domain containing 3	Evidence at protein level
EXOC3L1	Exocyst complex component 3 like 1	Evidence at protein level
EXPH5	Exophilin 5	Evidence at protein level
EXTL1	Exostosin like glycosyltransferase 1	Evidence at protein level
EYA1	EYA transcriptional coactivator and phosphatase 1	Evidence at protein level
EYA2	EYA transcriptional coactivator and phosphatase 2	Evidence at protein level
EYA4	EYA transcriptional coactivator and phosphatase 4	Evidence at protein level
EZH2	Enhancer of zeste 2 polycomb repressive complex 2 subunit	Evidence at protein level
F10	Coagulation factor X	Evidence at protein level
F2R	Coagulation factor II thrombin receptor	Evidence at protein level
F2RL1	F2R like trypsin receptor 1	Evidence at protein level
F2RL2	Coagulation factor II thrombin receptor like 2	Evidence at protein level
F8A2	Coagulation factor VIII associated 2	Evidence at protein level
F8A3	Coagulation factor VIII associated 3	Evidence at protein level
FA2H	Fatty acid 2-hydroxylase	Evidence at protein level
FAAH2	Fatty acid amide hydrolase 2	Evidence at protein level
FABP1	Fatty acid binding protein 1	Evidence at protein level
FABP3	Fatty acid binding protein 3	Evidence at protein level
FABP4	Fatty acid binding protein 4	Evidence at protein level
FABP6	Fatty acid binding protein 6	Evidence at protein level
FABP7	Fatty acid binding protein 7	Evidence at protein level
FAIM2	Fas apoptotic inhibitory molecule 2	Evidence at protein level
FAM102B	Family with sequence similarity 102 member B	Evidence at protein level
FAM107A	Family with sequence similarity 107 member A	Evidence at protein level
FAM110A	Family with sequence similarity 110 member A	Evidence at protein level
FAM110C	Family with sequence similarity 110 member C	Evidence at protein level
FAM110D	Family with sequence similarity 110 member D	Evidence at transcript level
FAM117B	Family with sequence similarity 117 member B	Evidence at protein level
FAM124A	Family with sequence similarity 124 member A	Evidence at protein level
FAM124B	Family with sequence similarity 124 member B	Evidence at protein level
FAM131C	Family with sequence similarity 131 member C	Evidence at protein level
FAM13C	Family with sequence similarity 13 member C	Evidence at protein level
FAM149A	Family with sequence similarity 149 member A	Evidence at protein level
FAM153A	Family with sequence similarity 153 member A	Evidence at protein level
FAM161A	FAM161 centrosomal protein A	Evidence at protein level
FAM162B	Family with sequence similarity 162 member B	Evidence at protein level
FAM166B	Family with sequence similarity 166 member B	Evidence at protein level
FAM167A	Family with sequence similarity 167 member A	Evidence at protein level
FAM167B	Family with sequence similarity 167 member B	Evidence at protein level
FAM169A	Family with sequence similarity 169 member A	Evidence at protein level
FAM171A1	Family with sequence similarity 171 member A1	Evidence at protein level
FAM171A2	Family with sequence similarity 171 member A2	Evidence at protein level
FAM171B	Family with sequence similarity 171 member B	Evidence at protein level
FAM178B	Family with sequence similarity 178 member B	Evidence at protein level
FAM183A	Family with sequence similarity 183 member A	Evidence at protein level
FAM184A	Family with sequence similarity 184 member A	Evidence at protein level
FAM220A	Family with sequence similarity 220 member A	Evidence at protein level
FAM222A	Family with sequence similarity 222 member A	Evidence at protein level
FAM229A	Family with sequence similarity 229 member A	Evidence at transcript level
FAM240C	Family with sequence similarity 240 member C	Evidence at protein level
FAM241A	Family with sequence similarity 241 member A	Evidence at protein level
FAM24B	Family with sequence similarity 24 member B	Evidence at protein level
FAM43A	Family with sequence similarity 43 member A	Evidence at protein level
FAM47E	Family with sequence similarity 47 member E	Evidence at protein level
FAM47E-STBD1	FAM47E-STBD1 readthrough	Evidence at transcript level
FAM53A	Family with sequence similarity 53 member A	Evidence at protein level
FAM72A	Family with sequence similarity 72 member A	Evidence at protein level
FAM78A	Family with sequence similarity 78 member A	Evidence at protein level
FAM81A	Family with sequence similarity 81 member A	Evidence at protein level
FAM81B	Family with sequence similarity 81 member B	Evidence at protein level
FAM83D	Family with sequence similarity 83 member D	Evidence at protein level
FAM83G	Family with sequence similarity 83 member G	Evidence at protein level
FAM83H	Family with sequence similarity 83 member H	Evidence at protein level
FAM86B1	Family with sequence similarity 86 member B1	Evidence at transcript level
FAM90A1	Family with sequence similarity 90 member A1	Evidence at protein level
FAN1	FANCD2 and FANCI associated nuclease 1	Evidence at protein level
FANCA	FA complementation group A	Evidence at protein level
FANCC	FA complementation group C	Evidence at protein level
FANCE	FA complementation group E	Evidence at protein level
FANCG	FA complementation group G	Evidence at protein level
FANCI	FA complementation group I	Evidence at protein level
FANCM	FA complementation group M	Evidence at protein level
FANK1	Fibronectin type III and ankyrin repeat domains 1	Evidence at protein level
FAR2	Fatty acyl-CoA reductase 2	Evidence at protein level
FAS	Fas cell surface death receptor	Evidence at protein level
FASTKD3	FAST kinase domains 3	Evidence at protein level
FAT1	FAT atypical cadherin 1	Evidence at protein level
FAT2	FAT atypical cadherin 2	Evidence at protein level
FAT4	FAT atypical cadherin 4	Evidence at protein level
FAXC	"Failed axon connections homolog, metaxin like GST domain containing"	Evidence at protein level
FBLIM1	Filamin binding LIM protein 1	Evidence at protein level
FBLN2	Fibulin 2	Evidence at protein level
FBLN5	Fibulin 5	Evidence at protein level
FBLN7	Fibulin 7	Evidence at protein level
FBN1	Fibrillin 1	Evidence at protein level
FBP1	Fructose-bisphosphatase 1	Evidence at protein level
FBXL15	F-box and leucine rich repeat protein 15	Evidence at protein level
FBXL16	F-box and leucine rich repeat protein 16	Evidence at protein level
FBXL17	F-box and leucine rich repeat protein 17	Evidence at protein level
FBXL18	F-box and leucine rich repeat protein 18	Evidence at protein level
FBXL2	F-box and leucine rich repeat protein 2	Evidence at protein level
FBXL22	F-box and leucine rich repeat protein 22	Evidence at protein level
FBXL6	F-box and leucine rich repeat protein 6	Evidence at protein level
FBXL7	F-box and leucine rich repeat protein 7	Evidence at protein level
FBXO10	F-box protein 10	Evidence at protein level
FBXO16	F-box protein 16	Evidence at protein level
FBXO17	F-box protein 17	Evidence at protein level
FBXO2	F-box protein 2	Evidence at protein level
FBXO36	F-box protein 36	Evidence at protein level
FBXO41	F-box protein 41	Evidence at protein level
FBXO5	F-box protein 5	Evidence at protein level
FBXW10B	F-box and WD repeat domain containing 10B	Evidence at transcript level
FBXW9	F-box and WD repeat domain containing 9	Evidence at protein level
FCGBP	Fc gamma binding protein	Evidence at protein level
FCGR1A	Fc gamma receptor Ia	Evidence at protein level
FCGR3B	Fc gamma receptor IIIb	Evidence at protein level
FCHO1	FCH and mu domain containing endocytic adaptor 1	Evidence at protein level
FCN1	Ficolin 1	Evidence at protein level
FCN3	Ficolin 3	Evidence at protein level
FDXACB1	Ferredoxin-fold anticodon binding domain containing 1	Evidence at protein level
FDXR	Ferredoxin reductase	Evidence at protein level
FEM1A	Fem-1 homolog A	Evidence at protein level
FERMT1	FERM domain containing kindlin 1	Evidence at protein level
FERMT2	FERM domain containing kindlin 2	Evidence at protein level
FERMT3	FERM domain containing kindlin 3	Evidence at protein level
FEZ1	Fasciculation and elongation protein zeta 1	Evidence at protein level
FGD1	"FYVE, RhoGEF and PH domain containing 1"	Evidence at protein level
FGD2	"FYVE, RhoGEF and PH domain containing 2"	Evidence at protein level
FGD3	"FYVE, RhoGEF and PH domain containing 3"	Evidence at protein level
FGD5	"FYVE, RhoGEF and PH domain containing 5"	Evidence at protein level
FGF1	Fibroblast growth factor 1	Evidence at protein level
FGF11	Fibroblast growth factor 11	Evidence at protein level
FGF12	Fibroblast growth factor 12	Evidence at protein level
FGF17	Fibroblast growth factor 17	Evidence at protein level
FGF2	Fibroblast growth factor 2	Evidence at protein level
FGF7	Fibroblast growth factor 7	Evidence at protein level
FGF9	Fibroblast growth factor 9	Evidence at protein level
FGFBP2	Fibroblast growth factor binding protein 2	Evidence at protein level
FGFBP3	Fibroblast growth factor binding protein 3	Evidence at protein level
FGFR2	Fibroblast growth factor receptor 2	Evidence at protein level
FGFR3	Fibroblast growth factor receptor 3	Evidence at protein level
FGFR4	Fibroblast growth factor receptor 4	Evidence at protein level
FGL2	Fibrinogen like 2	Evidence at protein level
FGR	"FGR proto-oncogene, Src family tyrosine kinase"	Evidence at protein level
FHDC1	FH2 domain containing 1	Evidence at protein level
FHIP1A	FHF complex subunit HOOK interacting protein 1A	Evidence at protein level
FHL3	Four and a half LIM domains 3	Evidence at protein level
FHL5	Four and a half LIM domains 5	Evidence at protein level
FHOD1	Formin homology 2 domain containing 1	Evidence at protein level
FHOD3	Formin homology 2 domain containing 3	Evidence at protein level
FIBIN	Fin bud initiation factor homolog	Evidence at protein level
FIGN	"Fidgetin, microtubule severing factor"	Evidence at protein level
FILIP1	Filamin A interacting protein 1	Evidence at protein level
FILIP1L	Filamin A interacting protein 1 like	Evidence at protein level
FITM1	Fat storage inducing transmembrane protein 1	Evidence at protein level
FJX1	Four-jointed box kinase 1	Evidence at protein level
FKBP10	FKBP prolyl isomerase 10	Evidence at protein level
FKBP11	FKBP prolyl isomerase 11	Evidence at protein level
FKBP7	FKBP prolyl isomerase 7	Evidence at protein level
FLACC1	Flagellum associated containing coiled-coil domains 1	Evidence at protein level
FLI1	"Fli-1 proto-oncogene, ETS transcription factor"	Evidence at protein level
FLNC	Filamin C	Evidence at protein level
FLRT1	Fibronectin leucine rich transmembrane protein 1	Evidence at transcript level
FLRT2	Fibronectin leucine rich transmembrane protein 2	Evidence at protein level
FLRT3	Fibronectin leucine rich transmembrane protein 3	Evidence at protein level
FLT1	Fms related receptor tyrosine kinase 1	Evidence at protein level
FLT4	Fms related receptor tyrosine kinase 4	Evidence at protein level
FLVCR1	FLVCR heme transporter 1	Evidence at protein level
FLVCR2	FLVCR heme transporter 2	Evidence at protein level
FMN1	Formin 1	Evidence at protein level
FMN2	Formin 2	Evidence at protein level
FMNL2	Formin like 2	Evidence at protein level
FMO2	Flavin containing dimethylaniline monoxygenase 2	Evidence at protein level
FMO3	Flavin containing dimethylaniline monoxygenase 3	Evidence at protein level
FMO4	Flavin containing dimethylaniline monoxygenase 4	Evidence at protein level
FMO5	Flavin containing dimethylaniline monoxygenase 5	Evidence at protein level
FMOD	Fibromodulin	Evidence at protein level
FN1	Fibronectin 1	Evidence at protein level
FNDC1	Fibronectin type III domain containing 1	Evidence at protein level
FNDC10	Fibronectin type III domain containing 10	Evidence at protein level
FNDC4	Fibronectin type III domain containing 4	Evidence at protein level
FNDC5	Fibronectin type III domain containing 5	Evidence at protein level
FOLH1	Folate hydrolase 1	Evidence at protein level
FOLR1	Folate receptor alpha	Evidence at protein level
FOLR2	Folate receptor beta	Evidence at protein level
FOSL1	"FOS like 1, AP-1 transcription factor subunit"	Evidence at protein level
FOXA1	Forkhead box A1	Evidence at protein level
FOXC1	Forkhead box C1	Evidence at protein level
FOXC2	Forkhead box C2	Evidence at protein level
FOXD1	Forkhead box D1	Evidence at protein level
FOXF1	Forkhead box F1	Evidence at protein level
FOXF2	Forkhead box F2	Evidence at protein level
FOXM1	Forkhead box M1	Evidence at protein level
FOXO3B	Forkhead box O3B	Evidence at protein level
FOXP2	Forkhead box P2	Evidence at protein level
FOXQ1	Forkhead box Q1	Evidence at protein level
FOXS1	Forkhead box S1	Evidence at protein level
FPGT-TNNI3K	FPGT-TNNI3K readthrough	Evidence at protein level
FPR1	Formyl peptide receptor 1	Evidence at protein level
FPR3	Formyl peptide receptor 3	Evidence at protein level
FRAS1	Fraser extracellular matrix complex subunit 1	Evidence at protein level
FREM1	FRAS1 related extracellular matrix 1	Evidence at protein level
FRMD3	FERM domain containing 3	Evidence at protein level
FRMPD1	FERM and PDZ domain containing 1	Evidence at protein level
FRRS1L	Ferric chelate reductase 1 like	Evidence at protein level
FRY	FRY microtubule binding protein	Evidence at protein level
FRZB	Frizzled related protein	Evidence at protein level
FSBP	Fibrinogen silencer binding protein	Evidence at protein level
FSCN1	Fascin actin-bundling protein 1	Evidence at protein level
FSD1L	Fibronectin type III and SPRY domain containing 1 like	Evidence at protein level
FST	Follistatin	Evidence at protein level
FSTL4	Follistatin like 4	Evidence at protein level
FTCD	Formimidoyltransferase cyclodeaminase	Evidence at protein level
FTCDNL1	Formiminotransferase cyclodeaminase N-terminal like	Evidence at protein level
FUOM	Fucose mutarotase	Evidence at protein level
FUT1	Fucosyltransferase 1 (H blood group)	Evidence at protein level
FUT10	Fucosyltransferase 10	Evidence at protein level
FUT2	Fucosyltransferase 2	Evidence at protein level
FUT4	Fucosyltransferase 4	Evidence at protein level
FXYD2	FXYD domain containing ion transport regulator 2	Evidence at protein level
FXYD3	FXYD domain containing ion transport regulator 3	Evidence at protein level
